"","MaStR.Nr..der.Stromerzeugungseinheit","Anlagenbetreiber","Anzeige.Name.der.Stromerzeugungseinheit","PLZ.der.Einheit","Ort.der.Einheit","Straße.der.Einheit","Hausnummer.der.Einheit","Bundesland.der.Einheit","Datum.der.erstmaligen.Inbetriebnahme.der.Einheit","Datum.der.endgültigen.Stilllegung.der.Einheit..Datum.Jahr.","Kraftwerksstatus.der.Einheit","Energieträger","Hauptbrennstoff","Auswertung.Energieträger","Wärmeauskopplung..KWK...ja.nein.","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes.","Bruttoleistung.in.MW","Nettonennleistung..elektrische.Wirkleistung..in.MW","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes...ja..Nettonennleistung.der.Einspeisung.in.ein.deutsches.Netz.","Technologie.der.Stromerzeugung","Volleinspeisung.oder.Teileinspeisung.","Anschlussnetzbetreiber","Spannungsebene"
"528","SEE976362409624","BES Groitzsch GmbH& Co. KG","BES GRO","04539","Groitzsch","Luckaer Straße","29 z","Sachsen","18.07.2019","","In Betrieb","Speicher","","Batteriespeicher","Nein","nein","17,25","16,43",NA,"","Volleinspeisung","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Mittelspannung"
"529","SEE974889284021","ExxonMobil Production Deutschland GmbH","Expansionsturbinen S","26197","Großenkneten","Vor dem Esch","12","Niedersachsen","01.01.1992","","In Betrieb","Druck aus Wasserleitungen","","Sonstige Energieträger (nicht erneuerbar)","Nein","nein","1,30","1,20",NA,"Sonstige","Teileinspeisung (einschließlich Eigenverbrauch)","EWE NETZ GmbH (SNB951051725711)","Umspannebene Hochspannung/Mittelspannung"
"530","SEE910877433255","ExxonMobil Production Deutschland GmbH","Expansionsturbinen S2","26197","Großenkneten","vor dem esch","12","Niedersachsen","01.01.1992","","In Betrieb","Druck aus Wasserleitungen","","Sonstige Energieträger (nicht erneuerbar)","Nein","nein","1,30","1,20",NA,"Sonstige","Teileinspeisung (einschließlich Eigenverbrauch)","EWE NETZ GmbH (SNB951051725711)","Umspannebene Hochspannung/Mittelspannung"
"531","SEE917096062495","ExxonMobil Production Deutschland GmbH","KWK Anlage Großenkneten","26197","Großenkneten","Vor dem Esch","12","Niedersachsen","05.05.2014","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","30,50","30,16",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","EWE NETZ GmbH (SNB951051725711)","Umspannebene Hochspannung/Mittelspannung"
"532","SEE966844914388","envia THERM GmbH","Großkayna GT1","06242","Großkayna","Werkstraße","1","Sachsen-Anhalt","17.01.1994","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Nein","nein","45,63","45,63",NA,"Gasturbinen ohne Abhitzekessel","Volleinspeisung","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Hochspannung"
"533","SEE941844408532","envia THERM GmbH","Großkayna GT2","06242","Großkayna","Werkstraße","1","Sachsen-Anhalt","17.01.1994","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Nein","nein","45,63","45,63",NA,"Gasturbinen ohne Abhitzekessel","Volleinspeisung","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Hochspannung"
"534","SEE905270326723","envia THERM GmbH","Großkayna GT3","06242","Großkayna","Werkstraße","1","Sachsen-Anhalt","17.01.1994","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Nein","nein","45,63","45,63",NA,"Gasturbinen ohne Abhitzekessel","Volleinspeisung","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Hochspannung"
"535","SEE929161243203","Uniper Kraftwerke GmbH","Staudinger 5","63538","Großkrotzenburg","Hanauer Landstraße","150","Hessen","01.01.1992","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","550,00","510,00",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","TenneT TSO GmbH (SNB970033313272)","Höchstspannung"
"536","SEE928761575349","EEW Energy from Waste Großräschen GmbH","EEW Großräschen GmbH","01983","Großräschen","Bergmannstraße","900 r","Brandenburg","16.01.2008","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","25,00","25,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Hochspannung"
"537","SEE901925227438","Mohn Media Mohndruck GmbH","DT","33332","Gütersloh","Carl-Bertelsmann-Straße","161","Nordrhein-Westfalen","28.03.1994","","In Betrieb","Wärme","","Erdgas","Ja","nein","6,46","6,36",NA,"Gegendruckmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Netzgesellschaft Gütersloh mbH (SNB931546188436)","Mittelspannung"
"538","SEE966835021620","Mohn Media Mohndruck GmbH","GM 1","33332","Gütersloh","","","Nordrhein-Westfalen","24.11.2017","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","1,56","1,53",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Netzgesellschaft Gütersloh mbH (SNB931546188436)","Mittelspannung"
"539","SEE985288285472","Mohn Media Mohndruck GmbH","GM 2","33332","Gütersloh","","","Nordrhein-Westfalen","24.11.2017","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","1,56","1,53",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Netzgesellschaft Gütersloh mbH (SNB931546188436)","Mittelspannung"
